"Time stamp","Value","Events","Comment","User"
"2022/03/03 23:00:00","12 683 362,73","","",""
"2022/03/03 22:30:00","12 683 145,04","","",""
"2022/03/03 22:00:00","12 682 925,60","","",""
"2022/03/03 21:30:00","12 682 707,70","","",""
"2022/03/03 21:00:00","12 682 488,52","","",""
"2022/03/03 20:30:00","12 682 269,99","","",""
"2022/03/03 20:00:00","12 682 050,75","","",""
"2022/03/03 19:30:00","12 681 832,06","","",""
"2022/03/03 19:00:00","12 681 613,54","","",""
"2022/03/03 18:30:00","12 681 395,12","","",""
"2022/03/03 18:00:00","12 681 176,44","","",""
"2022/03/03 17:30:00","12 680 957,65","","",""
"2022/03/03 17:00:00","12 680 739,34","","",""
"2022/03/03 16:30:00","12 680 520,61","","",""
"2022/03/03 16:00:00","12 680 301,98","","",""
"2022/03/03 15:30:00","12 680 082,98","","",""
"2022/03/03 15:00:00","12 679 864,54","","",""
"2022/03/03 14:30:00","12 679 645,47","","",""
"2022/03/03 14:00:00","12 679 426,97","","",""
"2022/03/03 13:30:00","12 679 207,86","","",""
"2022/03/03 13:00:00","12 678 988,96","","",""
"2022/03/03 12:30:00","12 678 770,80","","",""
"2022/03/03 12:00:00","12 678 551,61","","",""
"2022/03/03 11:30:00","12 678 332,39","","",""
"2022/03/03 11:00:00","12 678 113,56","","",""
"2022/03/03 10:30:00","12 677 895,25","","",""
"2022/03/03 10:00:00","12 677 676,71","","",""
"2022/03/03 09:30:00","12 677 457,65","","",""
"2022/03/03 09:00:00","12 677 239,05","","",""
"2022/03/03 08:30:00","12 677 020,54","","",""
"2022/03/03 08:00:00","12 676 802,39","","",""
"2022/03/03 07:30:00","12 676 584,54","","",""
"2022/03/03 07:00:00","12 676 367,42","","",""
"2022/03/03 06:30:00","12 676 149,50","","",""
"2022/03/03 06:00:00","12 675 931,97","","",""
"2022/03/03 05:30:00","12 675 714,57","","",""
"2022/03/03 05:00:00","12 675 497,00","","",""
"2022/03/03 04:30:00","12 675 280,14","","",""
"2022/03/03 04:00:00","12 675 062,94","","",""
"2022/03/03 03:30:00","12 674 846,00","","",""
"2022/03/03 03:00:00","12 674 628,60","","",""
"2022/03/03 02:30:00","12 674 411,88","","",""
"2022/03/03 02:00:00","12 674 194,23","","",""
"2022/03/03 01:30:00","12 673 977,49","","",""
"2022/03/03 01:00:00","12 673 759,93","","",""
"2022/03/03 00:30:00","12 673 542,34","","",""
"2022/03/03 00:00:00","12 673 324,41","","",""
"2022/03/02 23:30:00","12 673 106,32","","",""
"2022/03/02 23:00:00","12 672 888,11","","",""
"2022/03/02 22:30:00","12 672 669,62","","",""
"2022/03/02 22:00:00","12 672 450,99","","",""
"2022/03/02 21:30:00","12 672 232,01","","",""
"2022/03/02 21:00:00","12 672 014,47","","",""
"2022/03/02 20:30:00","12 671 794,37","","",""
"2022/03/02 20:00:00","12 671 575,35","","",""
"2022/03/02 19:30:00","12 671 356,73","","",""
"2022/03/02 19:00:00","12 671 138,06","","",""
"2022/03/02 18:30:00","12 670 919,01","","",""
"2022/03/02 18:00:00","12 670 700,27","","",""
"2022/03/02 17:30:00","12 670 481,89","","",""
"2022/03/02 17:00:00","12 670 262,81","","",""
"2022/03/02 16:30:00","12 670 044,81","","",""
"2022/03/02 16:00:00","12 669 826,02","","",""
